实习职位,实习薪资,工作地点,实习天数,实习月份
产品运营实习生,150-200/天,上海,5天/周,10个月
数据产品实习生,150-200/天,杭州,5天/周,6个月
Java研发工程师（实习生,200-250/天,深圳,5天/周,9个月
新媒体运营实习生,50-100/天,广州,3天/周,7个月
UI设计实习生,150-200/天,北京,3天/周,4个月
运营助理实习生（游戏）,面议,杭州,5天/周,6个月
产品助理（2019应届生）,150-200/天,广州,4天/周,4个月
数据翻译实习,100-150/天,上海,5天/周,7个月
新媒体编辑实习生,200-250/天,上海,5天/周,8个月
研发工程师JAVA,250-300/天,"杭州,上海,成都",3天/周,3个月
平面设计实习生,100-150/天,北京,5天/周,4个月
房地产信息管理部项目助理实习生,150-200/天,北京,4天/周,4个月
运维工程师,100-150/天,北京,4天/周,8个月
商业智能数据分析,100-150/天,北京,5天/周,6个月
设计实习生,100-150/天,北京,4天/周,5个月
运营实习生,1-50/天,哈尔滨,5天/周,10个月
AI话术编辑,100-150/天,成都,5天/周,4个月
云计算产品运营实习生,150-200/天,北京,4天/周,5个月
平面设计实习生,100-150/天,宁波,4天/周,4个月
硬件实习生,150-200/天,上海,4天/周,4个月
java工程师,200-250/天,北京,5天/周,12个月
IT项目实施助理,50-100/天,杭州,4天/周,5个月
北辰青年线下运营实习生,100-150/天,广州,3天/周,5个月
旅游类新媒体内容编辑,面议,重庆,5天/周,4个月
双微内容运营实习生,100-150/天,北京,3天/周,4个月
内容编辑实习生,200-250/天,北京,5天/周,4个月
营销校招生,200-250/天,成都,5天/周,4个月
SEO专员,面议,武汉,5天/周,5个月
活动内容运营实习生,100-150/天,上海,3天/周,12个月
西班牙语产品实习生,100-150/天,深圳,3天/周,4个月
产品运营实习生,200-250/天,上海,4天/周,6个月
vSLAM算法实习生,200-250/天,北京,5天/周,13个月
AI人工智能系统全栈开发工程师,150-200/天,上海,3天/周,10个月
机器人感知算法实习生,200-250/天,成都,3天/周,4个月
新媒体营销实习生（VR游戏）,100-150/天,杭州,4天/周,6个月
新媒体管培生,100-150/天,上海,5天/周,4个月
软件测试实习生,100-150/天,广州,3天/周,6个月
UI设计师,150-200/天,成都,6天/周,10个月
内容运营实习生,50-100/天,杭州,4天/周,3个月
前台兼行政实习生,100-150/天,杭州,3天/周,5个月
软件质量实习生,150-200/天,杭州,3天/周,4个月
金融类专业电子教辅资料编辑,100-150/天,北京,1天/周,4个月
平面设计/网页设计,150-200/天,苏州,5天/周,5个月
行业调研实习生,150-200/天,上海,3天/周,10个月
新媒体运营实习生（Fotor懒设计）,50-100/天,成都,4天/周,5个月
新媒体运营实习生,100-150/天,北京,4天/周,6个月
web前端,200-250/天,南京,3天/周,4个月
cocos2dx开发工程师,150-200/天,北京,5天/周,4个月
游记类点评编辑实习生,100-150/天,全国,5天/周,4个月
意大利语销售,1-2/天,广州,5天/周,4个月
教育资讯新媒体运营,120-121/天,上海,5天/周,3个月
IT实习生,100-150/天,北京,3天/周,4个月
足球编辑实习生,100-150/天,上海,5天/周,4个月
运营实习生,150-200/天,北京,4天/周,7个月
产品实习生,100-150/天,深圳,5天/周,4个月
产品运营实习生-百度视频,100-150/天,北京,5天/周,6个月
科技新媒体实习生,150-200/天,北京,5天/周,4个月
数据分析师,50-100/天,广州,4天/周,4个月
方言大数据标注与转写实习生,1-50/天,南京,5天/周,5个月
新媒体运营实习生（平台方向）,150-200/天,北京,4天/周,4个月
运营实习生-上海-00281,100-150/天,上海,3天/周,13个月
今日头条教研实习生,100-150/天,北京,5天/周,4个月
产品专员,100-150/天,北京,5天/周,4个月
新媒体运营实习生,150-200/天,上海,2天/周,9个月
安全工程专业电子教辅资料编辑实习,100-150/天,北京,2天/周,4个月
广告设计实习生,100-150/天,广州,4天/周,4个月
生活与出行中心-研究助理实习生,100-150/天,广州,3天/周,5个月
新媒体运营实习生,100-150/天,大连,3天/周,4个月
运营助理,50-100/天,海口,4天/周,4个月
软件测试工程师实习生,100-150/天,深圳,5天/周,6个月
短视频后期实习生,100-150/天,杭州,4天/周,4个月
产品实习生,250-300/天,北京,4天/周,6个月
平面设计师（漫画手绘）,100-150/天,广州,4天/周,7个月
公益慈善项目助理,50-100/天,上海,3天/周,4个月
设计实习生,100-150/天,北京,5天/周,4个月
平面设计师,50-100/天,南京,4天/周,12个月
python实习生,100-150/天,成都,5天/周,4个月
游戏内容运营实习生,100-150/天,广州,3天/周,12个月
内容运营实习生-大漠基金（J13715）,100-150/天,北京,5天/周,3个月
新媒体运营（主设计）,50-100/天,重庆,4天/周,5个月
测试工程师,100-150/天,杭州,5天/周,4个月
素材设计实习生 (MJ001004),面议,广州,3天/周,4个月
FPGA Software Intern,250-300/天,上海,4天/周,8个月
500强赛诺菲-IT intern,100-150/天,上海,2天/周,4个月
平面设计助理,100-150/天,张家港,6天/周,10个月
嵌入式系统工程师,200-250/天,北京,5天/周,10个月
交互设计实习生,100-150/天,上海,3天/周,6个月
软件测试实习生,100-200/天,深圳,5天/周,12个月
Web前端开发实习生,100-150/天,重庆,4天/周,5个月
数据运营实习生,150-200/天,深圳,4天/周,7个月
数据运营,100-150/天,北京,3天/周,4个月
教育专业实习生,100-150/天,北京,2天/周,4个月
微信运营实习生,100-150/天,武汉,3天/周,4个月
渗透测试实习生-南昌,150-200/天,南昌,5天/周,6个月
iOS开发实习生,150-200/天,北京,3天/周,5个月
视频编辑实习生,100-150/天,上海,3天/周,4个月
C/C++语言辅导老师,100-150/天,佛山,5天/周,3个月
品牌设计师,100-150/天,广州,5天/周,8个月
营运助理,100-150/天,上海,5天/周,4个月
java研发工程师,100-150/天,成都,5天/周,9个月
平面设计师,100-150/天,北京,5天/周,4个月
IT intern,150-200/天,北京,5天/周,6个月
资源管理工程师实习生,100-150/天,杭州,4天/周,7个月
标注实习生,100-150/天,苏州,5天/周,4个月
新媒体内容运营,100-150/天,成都,5天/周,3个月
产品管理工程师（实习生）,100-150/天,杭州,5天/周,7个月
运营助理,100-150/天,杭州,5天/周,10个月
嵌入式软件工程师,200-250/天,北京,5天/周,8个月
新媒体运营,100-150/天,北京,4天/周,4个月
软件设计实习,150-200/天,北京,5天/周,4个月
用户运营实习生,150-200/天,北京,5天/周,4个月
iOS开发实习生,150-300/天,北京,5天/周,3个月
财经记者编辑,50-100/天,苏州,4天/周,9个月
类目运营实习生,100-150/天,杭州,5天/周,10个月
Research分析师实习生,100-150/天,北京,4天/周,6个月
医学编辑,150-200/天,北京,2天/周,4个月
京东运营助理,100-150/天,广州,6天/周,9个月
思科实习生项目-軟體工程師 – DC Switch軟體研發 -台北,250-300/天,"上海,台北",3天/周,6个月
新媒体文案实习生,100-150/天,深圳,5天/周,4个月
包装设计实习生,100-150/天,北京,5天/周,4个月
蚂蚁金服研发工程师JAVA实习生,面议,上海,5天/周,6个月
运营推广专员,100-150/天,成都,4天/周,11个月
游戏运营助理,100-150/天,广州,5天/周,4个月
游戏运营助理,100-150/天,广州,5天/周,4个月
运维实习生,100-150/天,北京,5天/周,10个月
工程部实习生,100-150/天,上海,3天/周,5个月
平面美工实习生,150-200/天,杭州,5天/周,4个月
新媒体运营,50-100/天,成都,5天/周,4个月
新媒体运营实习生,100-150/天,广州,3天/周,4个月
运营实习生,100-150/天,北京,5天/周,10个月
春季实习-标注/审核实习生 (MJ001485),面议,广州,3天/周,4个月
内容审核,100-150/天,长沙,7天/周,8个月
平面设计实习生,100-150/天,北京,5天/周,7个月
文学类专业电子教辅资料编辑,100-150/天,北京,1天/周,4个月
云数据库产品助理,100-150/天,北京,4天/周,7个月
产品运营实习生,100-150/天,北京,4天/周,10个月
社群运营实习生,150-200/天,西安,3天/周,7个月
开发工程师,150-200/天,杭州,4天/周,2个月
视频剪辑实习生,100-150/天,杭州,4天/周,5个月
嵌入式软件开发工程师（实习）,100-150/天,厦门,5天/周,5个月
C++开发实习生,150-200/天,上海,3天/周,7个月
社区运营实习生,100-150/天,广州,5天/周,7个月
研发助理,300-400/天,北京,3天/周,4个月
内容编辑实习生,100-150/天,广州,5天/周,4个月
2020届实习生项目—行政储备生,100-150/天,北京,5天/周,2个月
Python开发实习生,100-150/天,广州,5天/周,7个月
用户运营实习生,100-150/天,北京,4天/周,4个月
移动营业厅,面议,杭州,5天/周,11个月
编辑实习生,100-150/天,武汉,5天/周,4个月
用户运营,100-150/天,广州,5天/周,4个月
法规技术员（化学专业）,150-200/天,深圳,5天/周,3个月
编辑实习生,200-250/天,武汉,3天/周,7个月
测试工程师,100-150/天,成都,5天/周,4个月
服饰运动编辑实习生,100-150/天,青岛,3天/周,12个月
新媒体运营,100-150/天,上海,5天/周,4个月
新媒体运营实习生,100-150/天,北京,5天/周,6个月
广告文案实习,100-150/天,上海,3天/周,7个月
关务信息整理实习生,50-100/天,杭州,5天/周,5个月
硬件开发实习生,100-150/天,合肥,4天/周,4个月
美工,100-200/天,天津,6天/周,3个月
SEO/网站运营/网络推广,100-150/天,上海,3天/周,28个月
实施顾问实习生,面议,杭州,4天/周,4个月
活动执行助理,100-150/天,重庆,4天/周,5个月
系统助理,100-150/天,上海,4天/周,4个月
新媒体编辑/新闻编辑/实习编辑,100-150/天,上海,4天/周,4个月
视觉设计实习生,150-200/天,成都,5天/周,8个月
Android安全病毒分析师,100-150/天,广州,5天/周,4个月
监控维护员,100-150/天,广州,5天/周,4个月
新媒体运营实习生 (MJ001780),面议,北京,5天/周,4个月
文案编辑实习生,100-150/天,广州,5天/周,4个月
高级特效师,80-150/天,上海,3天/周,3个月
运营实习生,100-150/天,宁波,5天/周,4个月
产品开发助理,100-150/天,深圳,5天/周,6个月
新媒体运营实习生,150-200/天,北京,3天/周,4个月
运营实习生,200-250/天,北京,5天/周,4个月
UI实习生,150-200/天,北京,5天/周,4个月
编辑助理,100-150/天,武汉,1天/周,4个月
运营实习生,100-150/天,广州,4天/周,4个月
微信运营（电商/社群）,150-200/天,广州,5天/周,7个月
包装设计师,150-200/天,北京,4天/周,4个月
新媒体运营实习生（美编）,100-150/天,上海,3天/周,3个月
Google优化师,100-150/天,上海,3天/周,4个月
产品运营实习生,150-200/天,北京,4天/周,4个月
产品经理实习生-交互方向,300-400/天,北京,4天/周,6个月
运营推广实习（知识付费方向）,50-100/天,广州,5天/周,5个月
后台开发实习生,150-200/天,北京,3天/周,5个月
二次元社区运营,100-150/天,北京,5天/周,4个月
智能IoT算法实习生,200-250/天,南京,3天/周,3个月
平面设计师,100-150/天,北京,5天/周,3个月
时尚视频实习生,50-100/天,北京,5天/周,4个月
平面设计实习生,100-150/天,上海,3天/周,10个月
实习运营编辑,100-150/天,北京,5天/周,4个月
IT实习生,100-150/天,上海,3天/周,4个月
技术支持,面议,珠海,5天/周,11个月
产品运营实习生,100-150/天,北京,4天/周,5个月
管理培训实习生,150-200/天,北京,4天/周,7个月
短视频运营/编导,100-150/天,广州,3天/周,3个月
UI设计师,面议,济南,5天/周,4个月
网络推广专员-SEO,50-100/天,深圳,3天/周,4个月
java开发工程师,100-150/天,深圳,5天/周,4个月
医学编辑,100-150/天,济南,1天/周,4个月
计算机视觉方向研究实习生,200-250/天,深圳,4天/周,6个月
内容策划实习生（像素蜜蜂Pxbee）,50-100/天,成都,4天/周,5个月
新媒体运营,100-150/天,北京,3天/周,3个月
产品运营,100-150/天,北京,5天/周,4个月
平面设计实习生,面议,广州,5天/周,4个月
新媒体运营实习生,100-150/天,北京,4天/周,12个月
自动化测试开发工程师,200-250/天,北京,5天/周,10个月
H5小游戏（前端方向）实习生,100-150/天,广州,5天/周,4个月
新媒体营销实习生（明日之后）,100-150/天,广州,4天/周,6个月
信息技术员（实习生）,100-150/天,南京,5天/周,4个月
消防安全研究员,200-250/天,上海,4天/周,12个月
測試工程師intern,100-101/天,上海,5天/周,10个月
H5工程师,150-200/天,上海,3天/周,7个月
网络安全管理,100-150/天,重庆,5天/周,7个月
现场开发工程师,150-200/天,西安,5天/周,5个月
Data Steward 数据专员,面议,深圳,5天/周,4个月
抖音运营实习生,面议,上海,5天/周,4个月
社区运营实习生-百度视频,100-150/天,北京,5天/周,6个月
粉丝运营管培实习生,100-150/天,广州,4天/周,4个月
商务编辑实习生,100-150/天,北京,3天/周,6个月
PHP开发实习生,100-150/天,成都,5天/周,7个月
设计实习生,100-150/天,广州,3天/周,3个月
新媒体运营实习生,100-150/天,广州,4天/周,4个月
视觉设计实习生,150-200/天,广州,4天/周,4个月
VBA Intern,50-100/天,上海,3天/周,7个月
编辑助理,100-150/天,武汉,1天/周,3个月
工程师（软件测试方向）,100-150/天,深圳,5天/周,5个月
Software Intern（Technical marketing）,200-250/天,上海,5天/周,4个月
Lazada英语运营,100-150/天,广州,5天/周,6个月
运营实习生,100-198/天,上海,3天/周,8个月
Enterprise System实习生,150-200/天,上海,5天/周,6个月
GIS数据工程师,100-150/天,杭州,5天/周,8个月
Java开发,150-200/天,北京,3天/周,8个月
数据产品实习生,100-150/天,南京,4天/周,4个月
新媒体运营实习生,100-150/天,成都,5天/周,6个月
移动前端工程师,150-200/天,上海,5天/周,4个月
网站运营及编辑实习生,100-150/天,杭州,5天/周,13个月
硬件工程师,200-250/天,北京,3天/周,12个月
美术设计实习生,150-200/天,上海,3天/周,10个月
JAVA研发实习生,面议,"北京,成都,杭州,上海,深圳",4天/周,7个月
移动端算法工程师,200-250/天,杭州,4天/周,12个月
数据工程师实习生,150-200/天,上海,4天/周,9个月
文案编辑,100-150/天,北京,3天/周,6个月
Java后端工程师,面议,杭州,5天/周,3个月
视频制作实习生 (MJ001684),面议,广州,3天/周,4个月
信息管理员,100-150/天,西安,5天/周,6个月
内容审核实习生,100-150/天,西安,5天/周,5个月
嵌入式系统工程师,300-400/天,北京,5天/周,4个月
运营实习生,100-150/天,广州,5天/周,4个月
英语游戏运营实习生,150-200/天,北京,4天/周,6个月
数据运营实习生,50-100/天,广州,4天/周,6个月
视觉平面设计实习生,150-200/天,北京,5天/周,4个月
内容营销实习生,100-150/天,深圳,3天/周,5个月
新媒体营销实习生（二次元向游戏）,100-150/天,广州,4天/周,6个月
IBSO 开发实习生 - SH,250-300/天,上海,3天/周,7个月
实习测试工程师,100-150/天,北京,4天/周,4个月
MES开发工程师,150-200/天,上海,5天/周,7个月
课程运营助理,100-150/天,广州,3天/周,5个月
硬件工程师,150-200/天,北京,4天/周,6个月
动画设计实习生,150-200/天,广州,3天/周,4个月
运营实习生,100-150/天,北京,5天/周,7个月
助力车策略实习生,100-150/天,上海,4天/周,3个月
PHP研发工程师,150-200/天,上海,5天/周,5个月
3D视频广告设计师,100-150/天,北京,5天/周,5个月
评论审核实习生,50-100/天,广州,3天/周,4个月
运营实习生,100-150/天,杭州,5天/周,5个月
平面设计实习生,150-200/天,上海,3天/周,5个月
实习Java研发工程师,100-150/天,上海,4天/周,5个月
AI教育研究员,300-400/天,北京,5天/周,4个月
后台系统开发,150-200/天,上海,5天/周,2个月
软件开发实习生（平台）,150-200/天,上海,5天/周,2个月
后端开发实习生,200-250/天,北京,5天/周,6个月
游戏内宣运营实习生,150-200/天,北京,4天/周,6个月
媒介素材设计实习生,100-150/天,广州,3天/周,3个月
渠道实习生,100-150/天,北京,4天/周,4个月
培训实习生（设计）,100-150/天,上海,4天/周,4个月
[辅助驾驶方向] 嵌入式Linux工程师 (实习生),100-150/天,深圳,5天/周,10个月
新媒体采编,100-150/天,上海,2天/周,10个月
插画实习生,100-150/天,广州,3天/周,12个月
管理培训生,100-180/天,广州,5天/周,7个月
视觉设计实习生（广告素材）,100-150/天,北京,4天/周,7个月
视觉设计实习生,100-150/天,广州,4天/周,4个月
内容实习编辑,150-200/天,北京,4天/周,4个月
数据库实习生（2020届）,100-150/天,广州,4天/周,7个月
百度视频-视频剪辑实习生,100-150/天,北京,4天/周,6个月
电商设计师助理,100-150/天,上海,4天/周,6个月
韩语企划（实习）,100-150/天,西安,5天/周,4个月
平面设计实习生,50-100/天,广州,3天/周,4个月
IOS开发实习生,50-100/天,青岛,5天/周,4个月
活动运营实习生,150-200/天,上海,4天/周,7个月
内容策划实习生（Fotor懒设计）,50-100/天,成都,4天/周,5个月
调试技术工程师,150-200/天,广州,5天/周,2个月
暑期实习-IT资讯工程师,100-150/天,上海,5天/周,2个月
web前端实习生-2020届,100-150/天,广州,5天/周,10个月
IT运维实习生,100-150/天,北京,4天/周,4个月
营销运营实习生,100-150/天,北京,5天/周,4个月
储备干部/管理培训生,150-200/天,镇江,5天/周,7个月
ARM工程师/硬件工程师/机器人项目研发专员/嵌入式研发工程师/单片机研发工程师,400-500/天,北京,5天/周,4个月
大数据实习生,100-150/天,成都,4天/周,6个月
内容运营实习-军事,100-150/天,北京,5天/周,10个月
算法实习--3D图形开发/AR,250-300/天,北京,5天/周,4个月
结构设计实习生,150-200/天,上海,5天/周,6个月
服务架构及云计算,200-250/天,成都,5天/周,8个月
自动化测试工程师,250-300/天,北京,5天/周,4个月
新媒体运营实习生,100-120/天,北京,3天/周,3个月
QQ微信运营,50-100/天,成都,5天/周,4个月
研发项目管理实习生-S0255,200-250/天,北京,5天/周,4个月
后期见习生,50-100/天,上海,5天/周,4个月
视觉设计实习生,100-150/天,上海,3天/周,6个月
数据库管理员,100-150/天,成都,5天/周,4个月
见习维保片长,150-200/天,成都,5天/周,2个月
电商商品助理,100-150/天,广州,5天/周,3个月
销售支持实习生,150-200/天,北京,4天/周,5个月
动画设计实习生,面议,北京,3天/周,4个月
数据分析师,100-150/天,深圳,5天/周,4个月
数据挖掘实习生,150-200/天,上海,3天/周,4个月
产品经理（客户端&用户增长方向）,100-150/天,北京,4天/周,10个月
新媒体运营实习生-消费金融方向,100-150/天,北京,5天/周,5个月
内容运营实习生,100-150/天,北京,4天/周,6个月
电商运营实习生,100-150/天,北京,5天/周,6个月
海面舰船SAR目标识别,200-250/天,成都,5天/周,8个月
运营设计师/平面设计师,100-150/天,上海,5天/周,5个月
展览实习生,100-150/天,上海,3天/周,7个月
新媒体实习生,200-250/天,深圳,3天/周,6个月
旅游产品编辑实习生,100-150/天,北京,5天/周,6个月
系统集成实习生,150-200/天,深圳,5天/周,5个月
用户运营,100-150/天,杭州,5天/周,4个月
视觉设计实习生,100-150/天,广州,4天/周,7个月
Iot开发工程师(安卓方向),面议,杭州,5天/周,4个月
技术支持,100-150/天,上海,3天/周,3个月
营销文案实习生,150-200/天,北京,3天/周,6个月
电子商务实习生,150-200/天,合肥,5天/周,10个月
设计实习生,150-200/天,广州,5天/周,11个月
PHP开发实习工程师,100-150/天,广州,4天/周,6个月
电商运营助理（天猫京东）,150-200/天,北京,5天/周,5个月
教育/心理/艺术类实习生,100-150/天,北京,2天/周,4个月
电气工程师,150-200/天,上海,3天/周,8个月
营销内容编辑（商业内容方向）,50-100/天,重庆,4天/周,12个月
电商运营,250-300/天,深圳,5天/周,4个月
机械助理工程师实习生,150-200/天,广州,5天/周,2个月
内容运营实习生,100-150/天,广州,5天/周,4个月
知识图谱,200-250/天,成都,5天/周,8个月
前端实习生,面议,广州,5天/周,4个月
海外置业实习生,100-150/天,上海,5天/周,5个月
信息科技部IT实习生,50-100/天,上海,3天/周,4个月
实习编辑,150-200/天,北京,4天/周,8个月
虎扑-设计实习生,150-200/天,上海,3天/周,6个月
IT intern （Suzhou）,面议,苏州,5天/周,6个月
项目助理,150-200/天,北京,5天/周,4个月
Android实习生,150-200/天,北京,5天/周,5个月
活动运营助理实习生,250-300/天,上海,3天/周,4个月
软件测试工程师实习生,100-150/天,上海,5天/周,5个月
后台开发实习生,100-150/天,珠海,5天/周,4个月
运营实习生（达人运营方向）,150-200/天,北京,4天/周,7个月
内容编辑,200-250/天,北京,5天/周,10个月
今日头条-财经频道运营实习生,150-200/天,北京,4天/周,5个月
前端开发实习生（杭州）ZP1903146158,150-200/天,杭州,5天/周,6个月
机械助理工程师,150-200/天,广州,5天/周,2个月
创新工场人工智能院-前端及全栈实习生,200-250/天,北京,3天/周,5个月
爬虫工程师实习生,150-200/天,南京,5天/周,6个月
视频设计实习生,100-150/天,广州,5天/周,4个月
运营实习生,100-150/天,杭州,5天/周,10个月
coser采访员,120-180/天,上海,5天/周,4个月
嵌入式系统工程师,250-300/天,北京,5天/周,4个月
PHP程序员（实习,120-180/天,深圳,4天/周,6个月
内审专员,100-150/天,福州,5天/周,11个月
大数据分析工程师,100-150/天,上海,5天/周,13个月
新媒体运营实习生,150-200/天,深圳,3天/周,4个月
硬件设计,150-200/天,北京,5天/周,4个月
云计算系统工程师,50-100/天,北京,3天/周,6个月
后台系统开发实习生,150-200/天,上海,5天/周,2个月
抖音短视频运营,50-100/天,广州,3天/周,5个月
新媒体运营实习生,1-50/天,成都,5天/周,4个月
本地化工程师,150-200/天,北京,3天/周,4个月
IT运维实习生,100-150/天,上海,5天/周,4个月
iOS开发实习生,400-500/天,北京,5天/周,12个月
.net实习生,100-150/天,成都,4天/周,4个月
猿题库内容运营历史组,100-150/天,武汉,3天/周,4个月
内容运营实习生,100-150/天,深圳,2天/周,4个月
拓店专员,200-250/天,全国,2天/周,160个月
内容运营实习生,100-150/天,北京,4天/周,4个月
设计实习生,200-250/天,北京,5天/周,4个月
产品助理,50-100/天,成都,5天/周,6个月
产品助理,50-100/天,厦门,5天/周,6个月
产品经理实习生,100-150/天,成都,5天/周,4个月
陈列设计师,150-200/天,上海,3天/周,4个月
实习运营助理,100-150/天,杭州,5天/周,3个月
安全开发实习生 (MJ000190),150-200/天,上海,3天/周,8个月
配置管理实习生(001327),100-200/天,北京,5天/周,4个月
体育组节目内容编辑实习生,1-50/天,上海,3天/周,10个月
人事行政实习生,150-200/天,成都,5天/周,7个月
3D动作设计,200-250/天,成都,5天/周,4个月
动画实习生,50-100/天,上海,3天/周,4个月
内容运营,100-150/天,成都,5天/周,10个月
产品助理,100-150/天,成都,5天/周,4个月
产品运营专员,150-200/天,上海,5天/周,10个月
运营实习生,面议,杭州,4天/周,4个月
软件工程师（实习）,150-200/天,佛山,5天/周,2个月
游戏特效（2D）,150-200/天,成都,5天/周,11个月
数据报表开发实习生 (MJ001611),面议,广州,4天/周,4个月
ios开发实习生,200-250/天,北京,4天/周,6个月
用户运营,100-150/天,成都,5天/周,7个月
运营助理实习生,50-100/天,广州,3天/周,4个月
产品实习生,150-300/天,上海,5天/周,3个月
IT运维工程师,150-200/天,济南,5天/周,4个月
IT流程管理项目实习生,100-150/天,北京,4天/周,6个月
应用工程师实习生,100-150/天,北京,4天/周,4个月
美工设计实习生,50-100/天,广州,5天/周,4个月
用户运营专员,面议,北京,5天/周,4个月
编辑实习生,50-100/天,广州,3天/周,4个月
内容运营专员,100-150/天,西安,5天/周,5个月
文案编稿实习生,100-150/天,西安,3天/周,5个月
新媒体运营,80-90/天,长沙,5天/周,5个月
工程管理专业电子教辅资料编辑,100-150/天,北京,2天/周,4个月
机器学习算法工程师（实习）,150-200/天,上海,5天/周,4个月
微信号运营实习生（养号）,100-150/天,北京,5天/周,4个月
区块链媒体实习记者,1-50/天,广州,5天/周,3个月
Java开发实习生,100-150/天,北京,5天/周,12个月
机械助理工程实习生,150-200/天,广州,5天/周,2个月
未来大学运营实习生,100-150/天,广州,3天/周,5个月
平面视觉设计实习生,150-200/天,北京,4天/周,3个月
产品运营实习生,100-150/天,北京,4天/周,4个月
产品运营实习生,150-200/天,上海,5天/周,9个月
UI设计师,100-150/天,广州,5天/周,4个月
应用软件工程师实习生,100-150/天,天津,5天/周,6个月
内容运营实习生,100-150/天,北京,3天/周,4个月
研发实习生,250-300/天,北京,5天/周,4个月
今日头条【抖音&火山】算法实习生,400-500/天,北京,4天/周,4个月
软件开发实习生,150-200/天,上海,3天/周,12个月
算法实习生,100-150/天,北京,4天/周,5个月
抖音运营,100-150/天,成都,5天/周,6个月
技术实习生,面议,广州,2天/周,4个月
电商文案（实习编辑）,100-150/天,成都,4天/周,12个月
无人机空战仿真设计,200-250/天,成都,5天/周,8个月
软件实习生,150-200/天,南京,4天/周,7个月
游戏UI设计师,100-150/天,北京,5天/周,4个月
新媒体运营实习生,150-200/天,北京,3天/周,4个月
双微运维（实习）,150-200/天,上海,5天/周,5个月
新媒体运营助理（段子号）,150-200/天,深圳,4天/周,12个月
电商运营实习生,100-150/天,北京,4天/周,5个月
新媒体运营实习生,300-400/天,上海,4天/周,7个月
运营编辑实习生,50-100/天,重庆,5天/周,4个月
平面/UI设计实习生,110-125/天,杭州,4天/周,4个月
IT Intern,100-150/天,上海,3天/周,4个月
游戏策划实习生,100-150/天,广州,3天/周,4个月
虚拟化实习工程师,150-200/天,广州,5天/周,6个月
IT工程师,150-200/天,北京,5天/周,7个月
WEB前端开发实习生,100-150/天,北京,3天/周,8个月
公众号运营,150-200/天,上海,5天/周,5个月
产品助理,100-150/天,北京,5天/周,7个月
宣传助理,100-150/天,上海,3天/周,4个月
项目运营实习生,100-150/天,北京,4天/周,4个月
新媒体运营实习生,100-150/天,广州,3天/周,4个月
新媒体运营实习生（倩女幽魂手游）,100-150/天,杭州,4天/周,5个月
新媒体运营实习生,面议,上海,4天/周,4个月
手绘设计师,100-150/天,上海,5天/周,10个月
企划实习生,1-2/天,长沙,5天/周,5个月
文案策划,面议,杭州,5天/周,4个月
产品助理,150-200/天,北京,5天/周,4个月
守望先锋社区运营实习生,100-150/天,广州,3天/周,5个月
技术工程师-成都-00542,200-250/天,成都,5天/周,10个月
活动营销视觉设计师,250-300/天,广州,1天/周,11个月
软件测试工程师,150-200/天,苏州,5天/周,4个月
平面设计实习生,100-150/天,上海,5天/周,5个月
营销策划实习生,150-200/天,北京,4天/周,4个月
UI设计实习生,150-200/天,杭州,3天/周,12个月
实习-软件测试–云协作技术集团,250-300/天,杭州,3天/周,7个月
信号处理算法实现,200-250/天,成都,5天/周,8个月
新媒体运营,150-200/天,杭州,5天/周,6个月
前端开发实习生-2020应届生,150-200/天,珠海,5天/周,6个月
内容运营实习生,100-150/天,北京,4天/周,4个月
网络小说同人编辑,面议,北京,5天/周,4个月
图像处理算法工程师,150-200/天,上海,3天/周,10个月
平台运营实习生,100-150/天,杭州,3天/周,7个月
运营实习生,100-150/天,北京,5天/周,5个月
Android开发工程师,150-200/天,西安,4天/周,7个月
运营实习生,面议,广州,5天/周,4个月
web实习生,50-100/天,大连,5天/周,4个月
游戏测试-moba高玩方向,100-150/天,广州,5天/周,5个月
运营实习生,50-100/天,广州,3天/周,6个月
新媒体电商运营,100-150/天,上海,3天/周,6个月
IT资产管理员,面议,北京,5天/周,4个月
视频剪辑实习生,150-200/天,北京,3天/周,4个月
新媒体运营实习生,100-150/天,深圳,5天/周,4个月
Android实习生,面议,广州,5天/周,8个月
java开发,100-150/天,上海,3天/周,13个月
项目经理实习生,100-150/天,成都,4天/周,7个月
运营实习生,100-150/天,北京,4天/周,4个月
心理咨询师运营,100-150/天,北京,3天/周,10个月
互联网中心设计岗实习生,面议,成都,5天/周,4个月
运营实习生,150-200/天,北京,4天/周,10个月
AS3开发工程师,100-150/天,广州,5天/周,4个月
客户端开发实习,250-300/天,上海,4天/周,4个月
运营经理/房产投资买卖咨询师,250-300/天,"成都,西安",6天/周,5个月
运营专员,250-300/天,郑州,5天/周,10个月
临床软件工程师,200-250/天,上海,5天/周,5个月
资源测试（游戏测试）-实习生,90-160/天,青岛,5天/周,3个月
运营编辑实习生,100-150/天,北京,4天/周,4个月
产品运营实习生,50-100/天,北京,5天/周,4个月
新媒体运营实习生,150-200/天,杭州,4天/周,8个月
产品运营助理,150-200/天,北京,4天/周,4个月
托福社群运营实习生,200-250/天,上海,4天/周,4个月
售后工程师（视频、广电产品）,100-200/天,北京,5天/周,15个月
后端实习生,150-200/天,北京,4天/周,8个月
Engineering Intern,100-150/天,上海,2天/周,5个月
it技术支持工程师,150-200/天,济南,5天/周,4个月
软件开发工程师,250-300/天,上海,5天/周,4个月
内容运营实习生,100-150/天,北京,4天/周,4个月
